year,REF,ASY,IDPs,STA,OOC,VDA
1991,16854762,,,,,
1992,17838020,,,,,
1993,16325299,743601,4198400,,,
1994,15753494,644640,5322990,,,
1995,14895916,986458,4286690,,,
1996,13356861,977087,4853712,,,
1997,12014967,1028200,4573112,,1404100,
1998,11480439,977800,5063880,,1378527,
1999,11686760,1027400,3968648,,1491142,
2000,12129080,947322,5998501,,1653841,
2001,12116301,943383,5096502,,1039510,
2002,10593526,1093121,4646641,,953319,
2003,9592279,995567,4181701,,905344,
2004,9572778,884285,5426539,1455861,597042,
2005,8661294,801119,6616791,2383651,960359,
2006,9877009,740253,12794268,5805941,1045409,
2007,11390156,739958,13740317,2938538,68615,
2008,10488995,823931,14442227,6573465,166860,
2009,10395780,988030,15628057,6559572,411691,
2010,10548900,835969,14697804,3463073,1255578,
2011,10403951,895692,15473378,3477100,1411844,
2012,10497028,941497,17670368,3335772,1329600,
2013,11698238,1162934,23925555,3469268,836073,
2014,14384302,1794703,32274619,3492255,1052746,
2015,16110280,3223460,37494172,3687759,870688,
2016,17184291,2729521,36627127,3242206,803084,
2017,19940568,3089503,39118516,3853982,1596125,
2018,20359556,3501627,41425168,3851981,1182756,2592947
2019,20414675,4148134,43503362,4161978,6140622,3582202
2020,20661855,4140106,48557439,4176913,8309751,3862102
2021,20835367,4409770,50872901,4265472,8426151,3944279