iso,year,status
AGO,1981,1
BDI,1975,1
BEN,1973,1
BFA,1974,1
BWA,1995,1
CAF,1970,1
CIV,1998,1
CMR,1985,1
COD,2004,1
COG,1974,1
COM,2004,1
CPV,1989,1
DJI,2006,1
DZA,1974,1
EGY,1980,1
ETH,1973,1
GAB,1986,1
GHA,1975,1
GIN,1972,1
GMB,1980,1
GNB,1989,1
GNQ,1980,1
KEN,1992,1
LBR,1971,1
LBY,1982,1
LSO,1988,1
MAR,1974,1
MLI,1981,1
MOZ,1988,1
MRT,1972,1
MWI,1981,1
NER,1971,1
NGA,1986,1
RWA,1979,1
SDN,1972,1
SEN,1971,1
SLE,1987,1
SSD,2013,1
SWZ,1989,1
SYC,1980,1
TCD,1981,1
TGO,1970,1
TUN,1989,1
TZA,1975,1
UGA,1987,1
ZAF,1995,1
ZMB,1973,1
ZWE,1985,1