coutry,iso,year_signature,year_ratification,color
Angola,AGO,2012,2013,1
Burundi,BDI,2009,N/A,0
Benin,BEN,2010,2012,1
Burkina Faso,BFA,2010,2012,1
Central African Republic,CAF,2009,2010,1
Côte d'Ivoire,CIV,2009,2013,1
Cameroon,CMR,N/A,2015,1
Democratic Republic of the Congo,COD,2010,2022,1
Republic of the Congo,COG,2009,2014,1
Comoros,COM,2010,N/A,0
Djibouti,DJI,2009,2015,1
Eritrea,ERI,2012,N/A,0
Western Sahara,ESH,2009,2013,1
Ethiopia,ETH,2009,2020,1
Gabon,GAB,2010,2011,1
Ghana,GHA,2010,N/A,0
Guinea,GIN,2012,N/A,0
Gambia,GMB,2009,2011,1
Guinea-Bissau,GNB,2012,2011,1
Equatorial Guinea,GNQ,2009,2019,1
Liberia,LBR,2009,2014,1
Lesotho,LSO,2010,2012,1
Madagascar,MDG,2014,N/A,0
Mali,MLI,2009,2012,1
Mozambique,MOZ,2010,2019,1
Mauritania,MRT,2013,2015,1
Malawi,MWI,N/A,2013,1
Namibia,NAM,2009,N/A,0
Niger,NER,N/A,2012,1
Nigeria,NGA,2009,2012,1
Rwanda,RWA,2009,2012,1
Senegal,SEN,2011,N/A,0
Sierra Leone,SLE,2009,2010,1
Somalia,SOM,2009,2019,1
South Sudan,SSD,2013,2018,1
Sao Tome and Principe,STP,2010,N/A,0
Eswatini,SWZ,N/A,2012,1
Chad,TCD,2010,2011,1
Togo,TGO,2009,2011,1
Tunisia,TUN,2012,N/A,0
United Republic of Tanzania,TZA,2010,N/A,0
Uganda,UGA,2009,2010,1
Zambia,ZMB,2009,2011,1
Zimbabwe,ZWE,2009,2013,1