year,popType,popNumber
1991,REF,16854762
1992,REF,17838020
1993,REF,16325299
1993,IDP,4198400
1994,REF,15753494
1994,IDP,5322990
1995,REF,14895916
1995,IDP,4286690
1996,REF,13356861
1996,IDP,4853712
1997,REF,12014967
1997,IDP,4573112
1998,REF,11480439
1998,IDP,5063880
1999,REF,11686760
1999,IDP,3968648
2000,REF,12129080
2000,IDP,5998501
2001,REF,12116301
2001,IDP,5096502
2002,REF,10593526
2002,IDP,4646641
2003,REF,9592279
2003,IDP,4181701
2004,REF,9572778
2004,IDP,5426539
2005,REF,8661294
2005,IDP,6616791
2006,REF,9877009
2006,IDP,12794268
2007,REF,11390156
2007,IDP,13740317
2008,REF,10488995
2008,IDP,14442227
2009,REF,10395780
2009,IDP,15628057
2010,REF,10548900
2010,IDP,14697804
2011,REF,10403951
2011,IDP,15473378
2012,REF,10497028
2012,IDP,17670368
2013,REF,11698238
2013,IDP,23925555
2014,REF,14384302
2014,IDP,32274619
2015,REF,16110280
2015,IDP,37494172
2016,REF,17184291
2016,IDP,36627127
2017,REF,19940568
2017,IDP,39118516
2018,REF,20359556
2018,IDP,41425168
2019,REF,20414675
2019,IDP,43503362
2020,REF,20661855
2020,IDP,48557439
2021,REF,20835367
2021,IDP,50872901