year,country_origin,refugees_number
2000,Afghanistan,3587327
2021,Afghanistan,2610067
2000,Central African Rep.,135
2021,Central African Rep.,713262
2000,Dem. Rep. of the Congo,371705
2021,Dem. Rep. of the Congo,864510
2000,Eritrea,376847
2021,Eritrea,492465
2000,Myanmar,137121
2021,Myanmar,1127588
2000,Nigeria,5735
2021,Nigeria,369880
2000,Somalia,475644
2021,Somalia,790022
2000,South Sudan,2277919
2021,South Sudan,2277919
2000,Sudan,494351
2021,Sudan,805874
2000,Syrian Arab Rep.,5868
2021,Syrian Arab Rep.,6761560