year,coa_name,iso3,refugees
2021,Afghanistan,AFG,66949
2021,Albania,ALB,109
2021,Algeria,DZA,97890
2021,Angola,AGO,26045
2021,Argentina,ARG,4050
2021,Armenia,ARM,34728
2021,Australia,AUS,55606
2021,Austria,AUT,152514
2021,Azerbaijan,AZE,1676
2021,Bahamas,BHS,10
2021,Bahrain,BHR,256
2021,Bangladesh,BGD,918907
2021,Belarus,BLR,2729
2021,Belgium,BEL,74063
2021,Belize,BLZ,86
2021,Benin,BEN,1736
2021,Bolivia (Plurinational State of),BOL,1116
2021,Bosnia and Herzegovina,BIH,240
2021,Botswana,BWA,688
2021,Brazil,BRA,61956
2021,Bulgaria,BGR,22830
2021,Burkina Faso,BFA,25010
2021,Burundi,BDI,81491
2021,Cambodia,KHM,24
2021,Cameroon,CMR,457269
2021,Canada,CAN,130125
2021,Cayman Islands,CYM,57
2021,Central African Rep.,CAF,9305
2021,Chad,TCD,555782
2021,Chile,CHL,2065
2021,China,CHN,303436
2021,Colombia,COL,1504
2021,Comoros,COM,27
2021,Congo,COG,40765
2021,Costa Rica,CRI,10224
2021,Côte d'Ivoire,CIV,4349
2021,Croatia,HRV,1020
2021,Cuba,CUB,199
2021,Cyprus,CYP,16277
2021,Czechia,CZE,1909
2021,Dem. Rep. of the Congo,COD,524148
2021,Denmark,DNK,36023
2021,Djibouti,DJI,23232
2021,Dominican Rep.,DOM,162
2021,Ecuador,ECU,56603
2021,Egypt,EGY,280686
2021,El Salvador,SLV,98
2021,Eritrea,ERI,121
2021,Estonia,EST,321
2021,Eswatini,SWZ,895
2021,Ethiopia,ETH,821283
2021,Fiji,FJI,18
2021,Finland,FIN,24078
2021,France,FRA,499914
2021,Gabon,GAB,272
2021,Gambia,GMB,4418
2021,Georgia,GEO,1818
2021,Germany,DEU,1255694
2021,Ghana,GHA,11894
2021,Greece,GRC,119650
2021,Guatemala,GTM,479
2021,Guinea,GIN,5741
2021,Guinea-Bissau,GNB,1846
2021,Guyana,GUY,40
2021,Honduras,HND,144
2021,Hungary,HUN,5676
2021,Iceland,ISL,1830
2021,India,IND,212413
2021,Indonesia,IDN,9982
2021,Iran (Islamic Rep. of),IRN,798343
2021,Iraq,IRQ,280072
2021,Ireland,IRL,9571
2021,Israel,ISR,1191
2021,Italy,ITA,144862
2021,Jamaica,JAM,31
2021,Japan,JPN,1132
2021,Jordan,JOR,712823
2021,Kazakhstan,KAZ,352
2021,Kenya,KEN,481048
2021,Kuwait,KWT,720
2021,Kyrgyzstan,KGZ,317
2021,Latvia,LVA,705
2021,Lebanon,LBN,845865
2021,Lesotho,LSO,296
2021,Liberia,LBR,8169
2021,Libya,LBY,3141
2021,Liechtenstein,LIE,133
2021,Lithuania,LTU,1880
2021,Luxembourg,LUX,6011
2021,Madagascar,MDG,165
2021,Malawi,MWI,21529
2021,Malaysia,MYS,132086
2021,Mali,MLI,49975
2021,Malta,MLT,9335
2021,Mauritania,MRT,101942
2021,Mauritius,MUS,10
2021,Mexico,MEX,73448
2021,Monaco,MCO,17
2021,Montenegro,MNE,175
2021,Morocco,MAR,7272
2021,Mozambique,MOZ,4797
2021,Namibia,NAM,3733
2021,Nauru,NRU,953
2021,Nepal,NPL,19574
2021,Netherlands,NLD,99585
2021,New Zealand,NZL,1794
2021,Nicaragua,NIC,313
2021,Niger,NER,249945
2021,Nigeria,NGA,77132
2021,North Macedonia,MKD,292
2021,Norway,NOR,46042
2021,Oman,OMN,295
2021,Pakistan,PAK,1491070
2021,Panama,PAN,2542
2021,Papua New Guinea,PNG,11839
2021,Paraguay,PRY,4484
2021,Peru,PER,5790
2021,Philippines,PHL,801
2021,Poland,POL,4875
2021,Portugal,PRT,2651
2021,Qatar,QAT,197
2021,Rep. of Korea,KOR,3559
2021,Rep. of Moldova,MDA,349
2021,Romania,ROU,4200
2021,Russian Federation,RUS,10901
2021,Rwanda,RWA,121896
2021,Saudi Arabia,SAU,333
2021,Senegal,SEN,14479
2021,Serbia and Kosovo: S/RES/1244 (1999),SRB,25644
2021,Sierra Leone,SLE,345
2021,Slovakia,SVK,1046
2021,Slovenia,SVN,839
2021,Somalia,SOM,13804
2021,South Africa,ZAF,75512
2021,South Sudan,SSD,333673
2021,Spain,ESP,122539
2021,Sri Lanka,LKA,907
2021,Sudan,SDN,1103918
2021,Suriname,SUR,29
2021,Sweden,SWE,240854
2021,Switzerland,CHE,118829
2021,Syrian Arab Rep.,SYR,14308
2021,Türkiye,TUR,3759817
2021,Tajikistan,TJK,10724
2021,Thailand,THA,100510
2021,Togo,TGO,10683
2021,Trinidad and Tobago,TTO,3571
2021,Tunisia,TUN,3186
2021,Turkmenistan,TKM,16
2021,Turks and Caicos Islands,TCA,7
2021,Uganda,UGA,1529903
2021,Ukraine,UKR,2382
2021,United Arab Emirates,ARE,1355
2021,United Kingdom of Great Britain and Northern Ireland,GBR,137078
2021,United Rep. of Tanzania,TZA,207101
2021,United States of America,USA,339179
2021,Uruguay,URY,877
2021,Uzbekistan,UZB,13032
2021,Venezuela (Bolivarian Republic of),VEN,39328
2021,Yemen,YEM,89467
2021,Zambia,ZMB,75154
2021,Zimbabwe,ZWE,9483