adm1_pcode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2018,2019,2020,2021,2022
AF01,658833,123943,198694,79879,31332,28255,33445,10827,25031,16162,13920,7871,3593,10147,81092,4099,1621,425,247,815
AF02,22945,4726,9980,2369,480,874,598,188,272,1002,504,115,37,96,403,41,16,14,,7
AF03,103194,12727,26094,7525,2270,3258,1735,1289,2366,1756,1629,504,165,777,3628,175,79,15,3,51
AF04,12285,6748,4009,2723,1280,1846,1623,746,1218,439,608,206,158,292,1355,111,35,9,10,36
AF05,26849,10225,12363,20262,11190,7308,9698,812,4859,1495,3107,1384,285,5915,23135,786,210,35,18,216
AF06,327777,71716,51258,62635,22947,203866,115624,10102,26800,11307,21910,5867,50,88,384,1,29,1,4,
AF07,39058,11486,9963,7934,3518,21498,22638,1878,6140,2743,4161,1010,727,4214,28035,463,226,92,22,165
AF08,4919,481,1709,326,105,230,171,68,185,150,178,69,1513,1575,5591,658,271,82,48,611
AF09,114293,21500,44278,22902,6725,4747,4672,2374,2919,2488,4379,2128,111,852,6475,297,54,11,,42
AF10,7145,2523,10734,1437,277,419,280,230,369,374,238,104,247,990,1928,112,105,55,42,120
AF11,25741,28253,47337,42060,7162,13216,860,449,792,876,674,521,1826,8812,115530,2275,1052,87,5,433
AF12,899,1479,936,2904,753,1275,121,38,101,105,61,111,43,223,54,,4,4,,2
AF13,2100,6075,14840,43139,8911,4059,8358,1224,4634,2134,3100,1692,427,1749,24649,465,158,23,6,127
AF14,123,3796,4471,58824,3653,1060,1673,196,1729,471,840,351,651,680,1634,352,252,69,9,434
AF15,11721,7848,8563,19598,2716,9640,32109,2020,3179,2035,7590,765,210,249,292,95,81,53,25,3
AF16,67,37,51,36,187,63,102,20,28,5,256,23,1208,1667,1805,814,755,257,435,276
AF17,6247,3438,1870,833,151,634,418,119,107,99,114,64,320,347,926,144,109,39,22,65
AF18,32317,9094,15620,5155,2222,2272,4087,1036,1149,832,1445,646,519,4218,20298,748,156,11,1,68
AF19,91798,26526,56187,32935,16243,13333,18417,5287,6849,4812,9483,3880,1,1,37,,2,,,
AF20,6943,2024,4181,2274,531,583,1328,354,577,278,437,145,102,61,153,6,7,2,1,
AF21,41199,15029,33104,10368,2826,3908,3827,1250,3026,2583,3893,1359,306,1064,2783,146,96,33,33,179
AF22,10374,7860,8618,3713,902,1592,996,2458,1574,731,1101,780,200,268,154,45,35,6,7,9
AF23,6309,2042,1918,467,59,94,55,61,21,31,37,32,510,1230,6100,493,320,66,23,565
AF24,3062,2333,1576,842,150,1663,57,30,109,137,92,58,6,58,94,70,7,2,,65
AF25,3795,801,5217,2649,131,604,92,25,238,52,45,29,113,1114,4163,340,158,19,,43
AF26,6515,800,3498,1825,702,1540,611,253,364,300,243,241,29,99,1135,44,15,,2,3
AF27,68386,14729,36723,13351,2198,15389,5831,2957,5898,3119,4035,2859,111,121,569,113,106,68,10,116
AF28,59946,11202,12735,17003,3380,9508,3014,3217,4218,1277,1503,725,1892,7476,25526,858,468,128,113,622
AF29,39459,8172,6956,5767,1443,2671,2281,1599,1650,415,821,588,820,2160,8332,466,339,103,81,357
AF30,17127,12026,26135,8486,1341,4159,1667,1276,2153,2463,2599,1672,25,54,158,19,4,2,3,68
AF31,4117,1867,1966,983,206,359,178,175,232,44,57,97,76,459,2001,74,25,23,9,
AF32,47524,22827,52924,16824,1818,1445,1137,1536,3389,5007,4233,2293,617,1308,4099,1322,1242,383,138,914
AF33,18001,16888,26201,10753,327,409,80,85,686,1161,1158,498,10,8,23,11,4,4,6,9
AF34,3245,2827,19489,4062,129,35,65,53,90,195,105,58,49,91,36,56,38,26,40,3
ZZZZ,10224,1591,924,1247,1539,3598,636,320,,,,,,,,,,,,